"Mailbox name","Identity","Mailbox Primary SMTP Address","Deny","User","Primary SMTP Address","Inherited"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","GLOBAL\saavops0004",,"False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","S-1-5-21-790525478-1343024091-1801674531-53873","","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","GLOBAL\mlborger","mlborger@avaya.com","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","S-1-5-21-790525478-1343024091-1801674531-57150","","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","GLOBAL\rejohnso","rejohnso@avaya.com","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","GLOBAL\anwilson","anwilson@avaya.com","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","GLOBAL\MSXSPICOF110AVEXU4",,"False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","S-1-5-21-790525478-1343024091-1801674531-132992","","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","GLOBAL\HP-OVE-User",,"False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","S-1-5-21-790525478-1343024091-1801674531-151477","","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","S-1-5-21-790525478-1343024091-1801674531-158410","","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","S-1-5-21-790525478-1343024091-1801674531-159584","","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","S-1-5-21-790525478-1343024091-1801674531-185635","","False"
"Advisory Help","global.avaya.com/Global Resource Mailboxes/Advisory Help","advisoryhelp@avaya.com","False","GLOBAL\Exchange Service Accounts",,"False"
